NAME,basin_area,length
"smithland",371802.16,1675.95
"golconda",370942.26,1701.32
"old-shawneetown",363656.85,1772.27
"mountcarmel",74359.92,1918.08
"jt-myers",277962.45,1791.07
"evansville",275482.9,1878.29
"calhoun",18540.88,1992.5
"newburgh",253065.62,1903.58
"cannelton",249382.5,1993.72
"shepherdsville",3111.32,2174.6
"mcalpine",236250.2,2172.82
"lockport",16020.13,2321.92
"markland",214850.87,2293.44
"milford",3117.14,2424.64
"catawba",8554.78,2472.5
"hamilton",9415.47,2417.33
"perintown",1233.67,2431.51
"brookville",3178.87,2416.63
"meldahl",183215.23,2450.59
"higby",13298.7,2666.15
"greenup",159430.25,2603.8
"grayson",1039.62,2668.21
"ashland",156836.61,2630.37
"branchland",3177.12,2712.89
"rc-byrd",138654.16,2703.26
"charleston",26788.29,2809.28
"racine",103965.32,2764.66
"belleville",101986.98,2818.54
"mcconnelsville",19209.06,2949.63
"athens",2448.79,2878.51
"elizabeth",3923.51,2896.3
"willow-island",69636.93,2892.36
"hannibal",67148.15,2949.17
"pike-island",63824.38,3006.94
"new-cumberland",61704.22,3065.04
"montgomery",59388.63,3101.57
"beaverfalls",8083.53,3116.06
"dashields",50478.4,3126.58
"emsworth",50204.12,3142.61
"natrona",29548.32,3188.42
"elizabeth2",13823.08,3185.73
"sutersville",4433.26,3197.96
